X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.563941930352037,44.663939404155599,59945,PKM10150,PKM10150,PKM,Halifax,2017,Moderate – Value based on good indication(s) from reliable source,STEEL,,Right-of-Way,,90,,,In Service,,,,13A,2018-03-09T12:44:27.000Z,2018-03-09T13:26:37.000Z,2018-03-08T00:00:00.000Z,FS,Scanned Image
-63.59358289418045,44.647198735913143,59946,PKM8892,PKM8892,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,13A,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593615990810463,44.647259265427451,59947,PKM8893,PKM8893,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,15A,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574174697245617,44.648964193758495,59948,PKM8894,PKM8894,PKM,Halifax,,,,,Right-of-Way,,90,300001376,,In Service,,,Halifax,45A,,2016-10-06T19:50:48.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.575047379103104,44.644938969477963,59949,PKM8898,PKM8898,PKM,Halifax,,,,,Right-of-Way,,120,300001588,,In Service,,,Halifax,1A,,2016-10-07T13:17:28.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.596935360108382,44.645940910515208,59950,PKM8903,PKM8903,PKM,Halifax,,,,,Right-of-Way,,30,300001544,,In Service,,,Halifax,3B,,2016-10-07T13:57:59.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.599624376181559,44.64502986696678,59951,PKM8904,PKM8904,PKM,Halifax,,,,,Right-of-Way,,30,300001597,,In Service,,,Halifax,4A,,2016-10-07T13:57:34.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.563948114354453,44.66377018158304,59952,PKM10132,PKM10132,PKM,Halifax,2017,Moderate – Value based on good indication(s) from reliable source,STEEL,,Right-of-Way,,90,,,In Service,,,,12A,2018-03-09T12:41:00.000Z,2018-03-09T13:26:37.000Z,2018-03-08T00:00:00.000Z,FS,Scanned Image
-63.57779834209996,44.650047516417729,59953,PKM8190,PKM8190,PKM,Halifax,,,,,Right-of-Way,,90,300001349,,In Service,,,Halifax,14B,,2016-10-06T19:44:13.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.572263658141104,44.648038162989174,59954,PKM8322,PKM8322,PKM,Halifax,,,,,Right-of-Way,,90,300001417,,In Service,,,Halifax,3B,,2016-10-07T13:01:35.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
